"2001-01-31","2001Jan","10.43"
"2001-02-28","2001Feb","10.23"
"2001-03-31","2001Mar","10.62"
"2001-04-30","2001Apr","10.61"
"2001-05-31","2001May","11.26"
"2001-06-30","2001Jun","11.66"
"2001-07-31","2001Jul","11.79"
"2001-08-31","2001Aug","11.86"
"2001-09-30","2001Sep","11.49"
"2001-10-31","2001Oct","10.31"
"2001-11-30","2001Nov","9.04"
"2001-12-31","2001Dec","8.88"
"2002-01-31","2002Jan","8.26"
"2002-02-28","2002Feb","8.33"
"2002-03-31","2002Mar","8.33"
"2002-04-30","2002Apr","8.21"
"2002-05-31","2002May","8.02"
"2002-06-30","2002Jun","7.55"
"2002-07-31","2002Jul","7.59"
"2002-08-31","2002Aug","7.26"
"2002-09-30","2002Sep","6.78"
"2002-10-31","2002Oct","6.26"
"2002-11-30","2002Nov","5.95"
"2002-12-31","2002Dec","5.73"
"2003-01-31","2003Jan","5.66"
"2003-02-28","2003Feb","5.66"
"2003-03-31","2003Mar","5.52"
"2003-04-30","2003Apr","5.41"
"2003-05-31","2003May","5.12"
"2003-06-30","2003Jun","5.03"
"2003-07-31","2003Jul","5.37"
"2003-08-31","2003Aug","5.61"
"2003-09-30","2003Sep","5.93"
"2003-10-31","2003Oct","6.36"
"2003-11-30","2003Nov","6.90"
"2003-12-31","2003Dec","6.76"
"2004-01-31","2004Jan","6.67"
"2004-02-29","2004Feb","6.82"
"2004-03-31","2004Mar","6.65"
"2004-04-30","2004Apr","7.02"
"2004-05-31","2004May","7.32"
"2004-06-30","2004Jun","7.27"
"2004-07-31","2004Jul","7.44"
"2004-08-31","2004Aug","7.36"
"2004-09-30","2004Sep","6.96"
"2004-10-31","2004Oct","6.80"
"2004-11-30","2004Nov","6.45"
"2004-12-31","2004Dec","6.00"
"2005-01-31","2005Jan","5.97"
"2005-02-28","2005Feb","5.73"
"2005-03-31","2005Mar","5.55"
"2005-04-30","2005Apr","5.49"
"2005-05-31","2005May","5.35"
"2005-06-30","2005Jun","4.91"
"2005-07-31","2005Jul","4.72"
"2005-08-31","2005Aug","4.88"
"2005-09-30","2005Sep","4.57"
"2005-10-31","2005Oct","4.91"
"2005-11-30","2005Nov","5.38"
"2005-12-31","2005Dec","5.16"
"2006-01-31","2006Jan","4.95"
"2006-02-28","2006Feb","4.79"
"2006-03-31","2006Mar","4.79"
"2006-04-30","2006Apr","5.03"
"2006-05-31","2006May","5.27"
"2006-06-30","2006Jun","5.55"
"2006-07-31","2006Jul","5.56"
"2006-08-31","2006Aug","5.62"
"2006-09-30","2006Sep","5.48"
"2006-10-31","2006Oct","5.40"
"2006-11-30","2006Nov","5.20"
"2006-12-31","2006Dec","5.14"
"2007-01-31","2007Jan","5.17"
"2007-02-28","2007Feb","5.19"
"2007-03-31","2007Mar","5.19"
"2007-04-30","2007Apr","5.28"
"2007-05-31","2007May","5.29"
"2007-06-30","2007Jun","5.52"
"2007-07-31","2007Jul","5.60"
"2007-08-31","2007Aug","5.68"
"2007-09-30","2007Sep","5.69"
"2007-10-31","2007Oct","5.64"
"2007-11-30","2007Nov","5.70"
"2007-12-31","2007Dec","5.86"
"2008-01-31","2008Jan","5.81"
"2008-02-29","2008Feb","5.82"
"2008-03-31","2008Mar","5.99"
"2008-04-30","2008Apr","5.99"
"2008-05-31","2008May","6.10"
"2008-06-30","2008Jun","6.42"
"2008-07-31","2008Jul","6.45"
"2008-08-31","2008Aug","6.11"
"2008-09-30","2008Sep","5.89"
"2008-10-31","2008Oct","6.35"
"2008-11-30","2008Nov","6.23"
"2008-12-31","2008Dec","5.70"
"2009-01-31","2009Jan","5.46"
"2009-02-28","2009Feb","5.97"
"2009-03-31","2009Mar","6.22"
"2009-04-30","2009Apr","6.19"
"2009-05-31","2009May","6.31"
"2009-06-30","2009Jun","6.34"
"2009-07-31","2009Jul","6.19"
"2009-08-31","2009Aug","6.08"
"2009-09-30","2009Sep","6.17"
"2009-10-31","2009Oct","6.15"
"2009-11-30","2009Nov","6.14"
"2009-12-31","2009Dec","6.22"
"2010-01-31","2010Jan","6.13"
"2010-02-28","2010Feb","6.09"
"2010-03-31","2010Mar","5.72"
"2010-04-30","2010Apr","5.57"
"2010-05-31","2010May","5.72"
"2010-06-30","2010Jun","5.87"
"2010-07-31","2010Jul","5.84"
"2010-08-31","2010Aug","5.62"
"2010-09-30","2010Sep","5.49"
"2010-10-31","2010Oct","5.53"
"2010-11-30","2010Nov","5.82"
"2010-12-31","2010Dec","5.98"
"2011-01-31","2011Jan","6.26"
"2011-02-28","2011Feb","6.26"
"2011-03-31","2011Mar","6.27"
"2011-04-30","2011Apr","6.14"
"2011-05-31","2011May","6.06"
"2011-06-30","2011Jun","5.88"
"2011-07-31","2011Jul","5.81"
"2011-08-31","2011Aug","5.70"
"2011-09-30","2011Sep","5.74"
"2011-10-31","2011Oct","5.71"
"2011-11-30","2011Nov","5.80"
"2011-12-31","2011Dec","5.84"
"2012-01-31","2012Jan","5.68"
"2012-02-29","2012Feb","5.46"
"2012-03-31","2012Mar","5.37"
"2012-04-30","2012Apr","5.49"
"2012-05-31","2012May","5.41"
"2012-06-30","2012Jun","5.24"
"2012-07-31","2012Jul","4.99"
"2012-08-31","2012Aug","4.88"
"2012-09-30","2012Sep","4.85"
"2012-10-31","2012Oct","4.57"
"2012-11-30","2012Nov","4.18"
"2012-12-31","2012Dec","3.88"
"2013-01-31","2013Jan","3.91"
"2013-02-28","2013Feb","3.99"
"2013-03-31","2013Mar","3.93"
"2013-04-30","2013Apr","3.50"
"2013-05-31","2013May","3.28"
"2013-06-30","2013Jun","3.95"
"2013-07-31","2013Jul","3.97"
"2013-08-31","2013Aug","4.30"
"2013-09-30","2013Sep","4.49"
"2013-10-31","2013Oct","4.28"
"2013-11-30","2013Nov","4.38"
"2013-12-31","2013Dec","4.42"
"2014-01-31","2014Jan","4.42"
"2014-02-28","2014Feb","4.47"
"2014-03-31","2014Mar","4.25"
"2014-04-30","2014Apr","4.10"
"2014-05-31","2014May","3.80"
